,,
Employee name,Emails,Phone number
Addie Minstra,addie.minstra@helpinghands.cm,(004) 416 3296 0665
Al Annon,al.annon@helpinghands.cm,(003) 655 960 732
Anna Domino,anna.domino@helpinghands.cm,(003) 655 357 437
Anna Littlical,anna.littlical@helpinghands.cm,(003) 532 0912 2846
Anna Logwatch,anna.logwatch@helpinghands.cm,(003) 532 010 1458
Anne Ortha,anne.ortha@helpinghands.cm,(004) 416 3296 0895
Barry Kade,barry.kade@helpinghands.cm,(001) 613 555 165
Ben Dover,ben.dover@helpinghands.cm,(001) 202 555 105
Clyde Stale,clyde.stale@helpinghands.cm,(003) 532 0914 8478
Con Trariweis,con.trariweis@helpinghands.cm,(003) 655 858 518
Dave Allippa,dave.allippa@helpinghands.cm,(004) 416 3296 0900
Dee Zynah,dee.zynah@helpinghands.cm,(004) 416 3296 0151
Don Messwidme,don.messwidme@helpinghands.cm,(003) 655 712 367
Eileen Dover,eileen.dover@helpinghands.cm,(001)202555103
Hugh Mannerizorsa,hugh.mannerizorsa@helpinghands.cm,(004) 416 3296 0224
Loco Lyzayta,loco.lyzayta@helpinghands.cm,(004) 416 3296 0351
Manny Jah,manny.jah@helpinghands.cm,(001) 613 555 117
Mark Ateer,mark.ateer@helpinghands.cm,(001) 613 555 192
Neil Down,neil.down@helpinghands.cm,(003) 655 110 035
Norma Leigh Absent,norma.leigh@helpinghands.cm,(003) 532 0911 4941
Reeve Ewer,reeve.ewer@helpinhands.cm,(001) 613 555 193
Saul Goodmate,saul.goodmate@helpinghands.cm,(003) 532 0913 6674
Skye Blue,skye.blue@helpinghands.cm,(001) 202 555 171
Sly Meebuggah,sly.meebuggah@helpinghands.cm,(003) 532 0917 3391
Stan Dupp,stan.dupp@helpinghands.cm,(003) 655 224 139
Staum Clowd,staum.clowd@helpinghands.cm,(001) 202 555 197
Tex Ryta,tex.ryta@helpinghands.cm,(001) 613 555 182
Theresa Green,theresa.green@helpinghands.cm,(001) 613 555 171
Willie Findit,willie.findit@helpinghands.cm,(001) 202555147
Willie Makit,willie.makit@helpinghands.cm,(001)202555166
